Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,host team,6,6,3,Samantha McLaren,Right,Lead,,5,85%,11,98%,16,94%,,2,75%,2,63%,4,69%,,7,82%,13,92%,20,89%
2019,host team,6,8,4,Skylar Ackerman,Right,Fourth,,7,68%,5,75%,12,71%,,4,63%,3,83%,7,71%,,11,66%,8,78%,19,71%
2019,host team,6,8,4,Madison Johnson,Right,Third,,6,83%,10,83%,16,83%,,1,100%,3,67%,4,75%,,7,86%,13,79%,20,81%
2019,host team,6,8,4,Chantel Hoag,Right,Second,,7,79%,7,89%,14,84%,,3,75%,3,83%,6,79%,,10,78%,10,88%,20,83%
2019,host team,6,8,4,Samantha McLaren,Right,Lead,,6,50%,10,98%,16,80%,,1,50%,3,83%,4,75%,,7,50%,13,94%,20,79%
2019,host team,6,9,5,Skylar Ackerman,Right,Fourth,,3,92%,7,68%,10,75%,,1,25%,6,50%,7,46%,,4,75%,13,60%,17,63%
2019,host team,6,9,5,Madison Johnson,Right,Third,,6,83%,8,84%,14,84%,,2,100%,4,100%,6,100%,,8,88%,12,90%,20,89%
2019,host team,6,9,5,Chantel Hoag,Right,Second,,4,50%,9,53%,13,52%,,2,75%,5,85%,7,82%,,6,58%,14,64%,20,63%
2019,host team,6,9,5,Samantha McLaren,Right,Lead,,3,92%,14,88%,17,88%,,2,100%,1,100%,3,100%,,5,95%,15,88%,20,90%
2019,host team,6,11,6,Skylar Ackerman,Right,Fourth,,4,69%,4,56%,8,63%,,3,83%,4,81%,7,82%,,7,75%,8,69%,15,72%
2019,host team,6,11,6,Madison Johnson,Right,Third,,4,94%,0,0%,4,94%,,3,75%,9,64%,12,67%,,7,86%,9,64%,16,73%
2019,host team,6,11,6,Chantel Hoag,Right,Second,,4,63%,7,57%,11,59%,,2,50%,3,100%,5,80%,,6,58%,10,70%,16,66%
2019,host team,6,11,6,Samantha McLaren,Right,Lead,,8,53%,5,80%,13,63%,,2,100%,1,100%,3,100%,,10,63%,6,83%,16,70%
2019,host team,6,14,7,Skylar Ackerman,Right,Fourth,,6,71%,2,75%,8,72%,,7,68%,5,80%,12,73%,,13,69%,7,79%,20,73%
2019,host team,6,14,7,Madison Johnson,Right,Third,,1,100%,6,83%,7,86%,,2,100%,11,82%,13,85%,,3,100%,17,82%,20,85%
2019,host team,6,14,7,Chantel Hoag,Right,Second,,5,80%,5,80%,10,80%,,5,85%,5,65%,10,75%,,10,83%,10,73%,20,78%
2019,host team,6,14,7,Samantha McLaren,Right,Lead,,5,70%,10,93%,15,85%,,1,100%,4,88%,5,90%,,6,75%,14,91%,20,86%
2019,host team,6,17,8,Skylar Ackerman,Right,Fourth,,4,38%,4,69%,8,53%,,7,100%,3,100%,10,100%,,11,77%,7,82%,18,79%
2019,host team,6,17,8,Madison Johnson,Right,Third,,4,38%,5,85%,9,64%,,3,42%,6,50%,9,47%,,7,39%,11,66%,18,56%
2019,host team,6,17,8,Chantel Hoag,Right,Second,,3,17%,6,83%,9,61%,,4,38%,5,95%,9,69%,,7,29%,11,89%,18,65%
2019,host team,6,17,8,Samantha McLaren,Right,Lead,,3,83%,10,85%,13,85%,,2,100%,3,83%,5,90%,,5,90%,13,85%,18,86%
2019,host team,6,18,9,Skylar Ackerman,Right,Fourth,,5,75%,3,75%,8,75%,,3,83%,7,46%,10,58%,,8,78%,10,55%,18,65%
2019,host team,6,18,9,Madison Johnson,Right,Third,,3,50%,6,46%,9,47%,,6,79%,5,70%,11,75%,,9,69%,11,57%,20,63%
2019,host team,6,18,9,Chantel Hoag,Right,Second,,1,100%,8,81%,9,83%,,6,88%,5,80%,11,84%,,7,89%,13,81%,20,84%
2019,host team,6,18,9,Samantha McLaren,Right,Lead,,3,75%,12,92%,15,88%,,3,100%,2,100%,5,100%,,6,88%,14,93%,20,91%
2019,manitoba,1,2,1,Mackenzie Zacharias,Right,Fourth,,4,63%,4,56%,8,59%,,3,83%,5,95%,8,91%,,7,71%,9,78%,16,75%
2019,manitoba,1,2,1,Lauryn Kuzyk,Right,Third,,2,100%,6,46%,8,59%,,3,67%,9,64%,12,65%,,5,80%,15,57%,20,63%
2019,manitoba,1,2,1,Emily Zacharias,Right,Second,,2,100%,6,71%,8,78%,,5,80%,7,82%,12,81%,,7,86%,13,77%,20,80%
2019,manitoba,1,2,1,Caitlyn Labossiere,Right,Lead,,4,94%,7,82%,11,86%,,5,55%,2,100%,7,68%,,9,72%,9,86%,18,79%
2019,manitoba,1,3,2,Mackenzie Zacharias,Right,Fourth,,9,86%,2,100%,11,89%,,2,100%,5,90%,7,93%,,11,89%,7,93%,18,90%
2019,manitoba,1,3,2,Lauryn Kuzyk,Right,Third,,8,69%,3,50%,11,64%,,3,50%,4,69%,7,61%,,11,64%,7,61%,18,63%
2019,manitoba,1,3,2,Emily Zacharias,Right,Second,,10,95%,3,75%,13,90%,,4,75%,1,50%,5,70%,,14,89%,4,69%,18,85%
2019,manitoba,1,3,2,Caitlyn Labossiere,Right,Lead,,6,75%,8,78%,14,77%,,2,100%,2,38%,4,69%,,8,81%,10,70%,18,75%
2019,manitoba,1,5,3,Mackenzie Zacharias,Right,Fourth,,5,75%,4,69%,9,72%,,4,88%,6,67%,10,75%,,9,81%,10,68%,19,74%
2019,manitoba,1,5,3,Lauryn Kuzyk,Right,Third,,9,58%,1,25%,10,55%,,4,56%,6,79%,10,70%,,13,58%,7,71%,20,63%
2019,manitoba,1,5,3,Emily Zacharias,Right,Second,,6,63%,2,75%,8,66%,,3,75%,9,83%,12,81%,,9,67%,11,82%,20,75%
2019,manitoba,1,5,3,Caitlyn Labossiere,Right,Lead,,8,84%,8,81%,16,83%,,1,0%,3,67%,4,50%,,9,75%,11,77%,20,76%
2019,manitoba,1,8,4,Mackenzie Zacharias,Right,Fourth,,6,88%,4,88%,10,88%,,4,81%,1,100%,5,85%,,10,85%,5,90%,15,87%
2019,manitoba,1,8,4,Lauryn Kuzyk,Right,Third,,4,56%,1,0%,5,45%,,7,68%,4,63%,11,66%,,11,64%,5,50%,16,59%
2019,manitoba,1,8,4,Emily Zacharias,Right,Second,,8,81%,2,100%,10,85%,,2,100%,4,100%,6,100%,,10,85%,6,100%,16,91%
